brand,brand_rank,model,diameter_mm,thickness_mm,lug_to_lug_mm,caliber,price_tier,market_momentum,data_confidence,production_status,source_file
Rolex,1,Oyster Perpetual 28/31/34/36/41,28/31/34/36/41,10.7–11.6,≈34.6/36.5/39/41/47.5,2232/2232/2232/3230/3230,5k_10k,evergreen,набл.,active,rolex.md
Rolex,1,Datejust 31/36/41,31/36/41,≈11.0/11.7/12.0,≈37/43.3/47.6,2236/3235/3235,5k_10k,evergreen,набл.,active,rolex.md
Rolex,1,Submariner No-Date / Date,41,12.3,≈48,3230/3235,5k_10k,evergreen,набл.,active,rolex.md
Rolex,1,Explorer 36 / 40,36/40,11.6,≈43/47,3230,5k_10k,evergreen,набл.,active,rolex.md
Rolex,1,Air-King,40,11.6,≈47.5,3230,5k_10k,contrarian,набл.,active,rolex.md
Rolex,1,GMT-Master II,40,11.9,≈48,3285,10k_15k,macro_trend,набл.,active,rolex.md
Rolex,1,Explorer II,42,12.5,≈50,3285,10k_15k,contrarian,набл.,active,rolex.md
Rolex,1,Yacht-Master 37 / 40 / 42,37/40/42,≈11.7/11.6/11.6,≈44/47.5/50,2236/3235/3235,10k_15k,contrarian,набл.,active,rolex.md
Rolex,1,Sea-Dweller,43,15.0,≈50.5,3235,10k_15k,contrarian,набл.,active,rolex.md
Rolex,1,Deepsea / Deepsea Challenge,44/50,17.7/23,≈51/61,3235,10k_15k,contrarian,набл.,active,rolex.md
Rolex,1,Cosmograph Daytona,40,11.9,≈47.6,4131,15k_plus,speculative_bubble,набл.,active,rolex.md
Rolex,1,Sky-Dweller,42,13.8,≈50,9002,15k_plus,macro_trend,набл.,active,rolex.md
Rolex,1,Day-Date 36 / 40,36/40,≈12/12.0,≈43/47.4,3255,15k_plus,evergreen,набл.,active,rolex.md
Rolex,1,Perpetual 1908,39,9.5,≈47,7140,15k_plus,insider_hype,набл.,active,rolex.md
Patek Philippe,2,Calatrava,39/39/40,8.1/9.2/9.1,≈46.9/47/47.5,30-255 PS / 26-330 SC,15k_plus,evergreen,набл.,active,patek-philippe.md
Patek Philippe,2,Cubitus,45 (ширина),≈8.3–9.6,≈44.9,26-330 / 240 / 31-260,15k_plus,insider_hype,набл.,active,patek-philippe.md
Patek Philippe,2,Nautilus,40–41,8.2–12.5,≈44–48,26-330 / 240 / 26-330 / CH 28-520,15k_plus,speculative_bubble,набл.,active,patek-philippe.md
Patek Philippe,2,Aquanaut,40.8/42.2/42.2,8.1/8.25/11.9,≈46/47/48,26-330 / 324 / CH 28-520,15k_plus,speculative_bubble,набл.,active,patek-philippe.md
Patek Philippe,2,Golden Ellipse,34.5×39.5,5.9,≈44,240,15k_plus,contrarian,набл.,active,patek-philippe.md
Patek Philippe,2,Gondolo,30×33.8 / 28.6×40.8,7.6–7.8,≈39–45,215 / 16-250,15k_plus,contrarian,набл.,active,patek-philippe.md
Patek Philippe,2,Twenty~4,25.1×30 / 36,6.8/10.05,≈30/≈42,E15 quartz / 26-330,15k_plus,evergreen,набл.,active,patek-philippe.md
Patek Philippe,2,Complications,38.5–42,10–11.6,≈46–50,собственные 240/26-330/31-260,15k_plus,evergreen,набл.,active,patek-philippe.md
Patek Philippe,2,Grand Complications,39–44.8,9.7–16.1,≈47–53,собственные сложные,15k_plus,insider_hype,набл.,active,patek-philippe.md
Audemars Piguet,3,Royal Oak Selfwinding,34/37/41,8.8/9.3/10.5,≈41.5/46.5/51,5800/5900/4302,15k_plus,macro_trend,набл.,active,audemars-piguet.md
Audemars Piguet,3,Royal Oak Jumbo Extra-Thin,39,8.1,≈48,7121,15k_plus,speculative_bubble,набл.,active,audemars-piguet.md
Audemars Piguet,3,Royal Oak Chronograph,38/41,11/12.4,≈47/52,2385/4401,15k_plus,macro_trend,набл.,active,audemars-piguet.md
Audemars Piguet,3,Royal Oak Offshore,43/43,14.4,≈55,4302/4401,15k_plus,contrarian,набл.,active,audemars-piguet.md
Audemars Piguet,3,Code 11.59 Selfwinding,41/38,10.7/9.6,≈50/46,4302/5900,15k_plus,contrarian,набл.,active,audemars-piguet.md
Audemars Piguet,3,Code 11.59 Chronograph,41,12.6,≈50,4401,15k_plus,contrarian,набл.,active,audemars-piguet.md
Audemars Piguet,3,Code 11.59 Grande Sonnerie / Universelle,41/42,≈13–15.6,≈50–51,2956 / 1000,15k_plus,insider_hype,оц.класс,active,audemars-piguet.md
Audemars Piguet,3,[RE]Master,40/41,≈9.7–14.6,≈47–50,4409/7129,15k_plus,insider_hype,набл.,active,audemars-piguet.md
Vacheron Constantin,4,Fiftysix,40,9.6–11.6,≈48,1326/2460,10k_15k,contrarian,набл.,active,vacheron-constantin.md
